ITEM;QTY;ITEM GROUP
"9010 Hp Ink Cartridge black
";21;Printers
"9010 Hp Ink Cartridge cyan
";23;Printers
"9010 Hp Ink Cartridge magenta
";25;Printers
"9010 Hp Ink Cartridge yellow
";16;Printers
"Cisco 7841
";190;Desk Phones
"Cisco CP8821
";2;Desk Phones
Logitech Mic;4;Video Conferance Appliances
"Cisco Room Kit Mic extension cable
";9;Video Conferance Appliances
Ethernet Dongles C-type;1 Box;Cables
"Gigaset phone C610
";7;Desk Phones
"Gigaset phone CL540
";11;Desk Phones
HCS Ethernet 1m;1 Box;Cables
HCS Ethernet 2m;1 Box;Cables
HCS Ethernet 3m;1 Box;Cables
HCS Ethernet 5m;1 Box;Cables
HP 2TB SATA;5;Hard Disk & Storage
HP 3TB SATA;1;Hard Disk & Storage
"HP Color LazerJet Pro MFP M477fdw
";2;Printers
"HP Color LazerJet Pro MFP M477fnw
";1;Printers
"HP Color LazerJet Pro MFP M479fdw
";2;Printers
"HP Color LazerJet Pro MFP M479fnw
";2;Printers
"HP Monitor New Version
";32;Peripherals
"HP Monitors Old Version
";50;Peripherals
HP OfficeJet Pro 9013 ;4;Printers
Keyboard;370;Peripherals
"Mouse
";240;Peripherals
Kensington Lock;1 Box;Accessories
Kingston 64GB USB;87;Hard Disk & Storage
Lenovo Backpack;70;Accessories
"Lenovo Charger 65W Used
";1 Box;Peripherals
"Lenovo Charger 65W
";200;Peripherals
"Lenovo Charger 90W NEW
";55;Peripherals
"Lenovo Charger 90W USED
";1 Box;Peripherals
"Lenovo Essential Wireless KB-mouse Combo
";110;Peripherals
"Logitech C310 720p Webcam
";3;Peripherals
"Logitech c920e webcam
";3;
"Logitech c930e webcam
";76;Peripherals
"Logitech Headset Stereo H570e
";92;Peripherals
"Logitech Rally Plus
";3;Video Conferance Appliances
M477 HP Cartridge black;13;Printers
M477 HP Cartridge cyan;16;Printers
"M477 HP Cartridge magenta
";12;Printers
"M477 HP Cartridge yellow
";11;Printers
"M479 HP Cartridge black
";8;Printers
M479 HP Cartridge cyan;13;Printers
"M479 HP Cartridge magenta
";17;Printers
"M479 HP Cartridge yellow
";20;Printers
"M651 HP Cartridge black
";8;Printers
M651 HP Cartridge blue;10;Printers
"M651 HP Cartridge magenta
";9;Printers
"M651 Hp Cartridge yellow
";12;Printers
M653 HP Cartridge black;20;Printers
M653 HP Cartridge blue;8;Printers
"M653 HP Cartridge magenta
";7;Printers
M653 HP Cartridge yellow;7;Printers
"M880 HP Cartridge black
";9;Printers
"M880 HP Cartridge cyan
";6;Printers
M880 HP Cartridge magenta;12;Printers
M880 HP Cartridge yellow;16;Printers
"M880 HP drum black
";7;Printers
"M880 HP drum blue
";13;Printers
"M880 HP drum magenta
";9;Printers
"M880 HP drum yellow
";10;Printers
"M880 Roller Kit
";8;Printers
"M880 Transfer Kit
";3;Printers
"M880 Fuser Kit
";3;Printers
Rally mounting kit;1;Video Conferance Appliances
Sandisk 16GB USB;19;Hard Disk & Storage
Seagate 1TB SATA;1;Hard Disk & Storage
Seagate 2TB;5;Hard Disk & Storage
Seagate 4TB SATA;2;Hard Disk & Storage
Server Equipments Box;1;Network Equipment
Suprema Xpass 2;5;Peripherals
"Suprema Xpass
";1;Peripherals
ThinkPad USN 3.0 Secure HardDrive 1TB;12;Hard Disk & Storage
USB 2.0 B;1 Box;Cables
USB 3.0 A;1 Box;Cables
Usb C to Usb C New;11;Cables
Usb C to Usb C Used;30;Cables
USB Extensions;13;Cables
"USB Hub
";3;Peripherals
"USB-C Dock Universal thunderbolt 4
";4;Peripherals
"USB-C Docking Station (used)
";100;Peripherals
"USB-C Docking Station
";111;Peripherals
WD Portable HDD 1TB;18;Hard Disk & Storage
WD Portable HDD 2TB;22;Hard Disk & Storage
HDMI;1 Box;
Display Port;1 Box;
Car Cables;1 Box;
"Cisco Cables
";1 Box;
USB 2.0 A;1 Box;
VIISAN Scanner;15;
Lenovo Workstation Dock;5;
Used Lenovo Workstation Dock ;1;
Jabra Speaker;17;
